State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
Alabama,Jefferson,33.5472339,-86.8181503,21.40600988,32.80388378,5.888786108,5.947618501,2020/5/1
Alaska,Fairbanks North Star ,64.84569,-147.727413,18.87952726,17.90943868,9.438686696,6.564283616,2020/5/1
Arizona,Maricopa,33.48651643,-112.0561928,26.74763111,48.4657346,0.912235412,2.582329201,2020/5/1
Arizona,Pima,32.20266516,-110.9086224,22.48955077,30.68719011,0,4.324547407,2020/5/1
Arkansas,Pulaski,34.776072,-92.27611725,17.59872587,37.23825698,1.388289002,3.95662903,2020/5/1
California,Alameda,37.78218989,-122.2344154,25.82974006,21.89252765,0.512897241,7.640863238,2020/5/1
California,Contra Costa,37.96911412,-122.0038063,13.55304228,21.34940551,1.296026106,6.006064934,2020/5/1
California,Fresno,36.79918777,-119.8213052,22.88172043,26.68206112,0.35760743,8.909890723,2020/5/1
California,Humboldt,40.75949649,-124.1856446,7.225806452,26.711154,0.910328657,5.858540425,2020/5/1
California,Imperial,32.67618,-115.48307,26.68,30.04001712,0.891685698,8.16,2020/5/1
California,Kern,35.34713623,-119.0342155,48.44967216,46.33360114,0,13.66893423,2020/5/1
California,Los Angeles,33.94209095,-118.2778357,31.5965221,17.54368509,1.129124196,8.092695983,2020/5/1
California,Orange,33.67464,-117.92568,9.491934714,37.69905609,0,1.613642047,2020/5/1
California,Riverside,33.99958,-117.41601,27.31938643,19.15471744,0.267829688,6.822580645,2020/5/1
California,Sacramento,38.58111066,-121.3590663,10.48234051,25.37078817,0.215940126,5.806451613,2020/5/1
California,San Bernardino,34.39846532,-117.3711114,24.92114552,19.19240448,1.025239073,5.784253806,2020/5/1
California,San Diego,32.78409326,-117.0375897,21.23290504,28.98291871,0,6.548094128,2020/5/1
California,San Francisco,37.765946,-122.399044,32.22403174,19.72168485,5.709677419,10.29032258,2020/5/1
California,Santa Barbara,34.56687289,-120.2907027,2.358188563,42.76046393,0.288232474,2.3125,2020/5/1
California,Santa Clara,37.343316,-121.8723405,22.56603606,25.95121919,0.225438017,7.94980793,2020/5/1
California,Santa Cruz,36.974117,-122.030792,4.139681558,25.93408685,3.201445756,4.415334809,2020/5/1
California,Solano,38.102507,-122.237976,15.06792037,21.96949824,0.889012849,8.451612903,2020/5/1
California,Ventura,34.25239,-119.143182,21.08269344,40.40139314,0.309293349,16,2020/5/1
Colorado,Adams,39.838119,-104.94984,37.84199792,37.95258463,0.773368853,3.67477315,2020/5/1
Colorado,Denver,39.76194956,-104.998686,43.57758621,35.16752699,1.308859374,6.579242011,2020/5/1
Colorado,Jackson,40.437,-106.494,2.246255008,39.35224397,0,1.475265618,2020/5/1
Connecticut,Fairfield,41.118333,-73.336667,16.19880877,36.08989484,2.786292966,2.844218394,2020/5/1
Connecticut,Hartford,41.784722,-72.631667,18.21656211,38.21290734,0.703515649,3.588770194,2020/5/1
Connecticut,Litchfield,41.821342,-73.297257,5.993148637,32.25402829,0.611105333,2.088080801,2020/5/1
Connecticut,New Haven,41.3014,-72.902871,24.15824154,27.06968887,0.062137521,4.462785468,2020/5/1
Country Of Mexico,BAJA CALIFORNIA NORTE,32.522499,-117.046623,41.70953413,17.78184242,7.095362183,23.38554451,2020/5/1
