,Unnamed: 0,CO AQI,SO2 AQI,O3 AQI,NO2 AQI,Latitude,Longitude,label,Date,State,County,City
0,0,33.29032258,14.25806452,30.14516129,90.59677419,33.5151761,-111.9674191,2,2000/1/1,,,
1,245,31.32258065,11.06451613,16.75806452,52.96774194,33.5151761,-111.9674191,3,2000/12/1,,,
2,257,25.58064516,11.5483871,19.66129032,53.08064516,33.5151761,-111.9674191,4,2002/1/1,,,
3,577,24.38709677,10.33870968,18.03225806,52,33.5151761,-111.9674191,1,2003/1/1,,,
4,915,14.67741935,4.338709677,17.9516129,39.56451613,33.5151761,-111.9674191,0,2005/1/1,,,
5,924,9.071428571,2.785714286,25.5,37.53571429,33.5151761,-111.9674191,0,2005/2/1,,,
6,933,8.564516129,2.838709677,36.29032258,41.41935484,33.5151761,-111.9674191,0,2005/3/1,,,
7,1020,11,4.338709677,37.06451613,45.79032258,33.5151761,-111.9674191,3,2007/3/1,,,
8,1127,11.06666667,3.766666667,23.96666667,39.3,33.5151761,-111.9674191,0,2008/1/1,,,
9,1301,6.517857143,3.696428571,32.16071429,36.92857143,33.5151761,-111.9674191,1,2010/2/1,,,
10,1313,7.016129032,3.596774194,39.61290323,36.5483871,33.5151761,-111.9674191,3,2010/3/1,,,
11,1,14.76666667,11.33333333,25.66666667,42.23333333,32.20266516,-110.9086224,3,2000/1/1,,,
12,28,7.357142857,5.464285714,40.64285714,40.64285714,32.20266516,-110.9086224,2,2000/3/1,,,
13,99,3.933333333,3.833333333,43.63333333,24.96666667,32.20266516,-110.9086224,0,2000/6/1,,,
14,150,4.142857143,2.464285714,64.57142857,22.17857143,32.20266516,-110.9086224,1,2000/8/1,,,
15,179,5.866666667,2.866666667,42.9,31.73333333,32.20266516,-110.9086224,1,2000/9/1,,,
16,231,10.23333333,7.1,26.86666667,37.03333333,32.20266516,-110.9086224,0,2000/11/1,,,
17,2447,4.464285714,0.642857143,33.03571429,31.35714286,32.20266516,-110.9086224,5,2013/2/1,,,
18,2534,2.2,0.633333333,42.2,21.43333333,32.20266516,-110.9086224,0,2013/4/1,,,
19,2622,1.633333333,1.666666667,42.13333333,16.76666667,32.20266516,-110.9086224,5,2013/6/1,,,
20,2751,1.6,1.7,38.76666667,17.93333333,32.20266516,-110.9086224,5,2013/9/1,,,
21,2839,2.933333333,0.133333333,29.56666667,22.03333333,32.20266516,-110.9086224,0,2013/11/1,,,
22,3081,4.321428571,0.642857143,34.78571429,23.25,32.20266516,-110.9086224,1,2015/2/1,,,
23,3133,2.566666667,0.5,49.63333333,16.56666667,32.20266516,-110.9086224,3,2015/4/1,,,
24,3188,2.2,1,50.7,13.9,32.20266516,-110.9086224,1,2015/6/1,,,
25,3272,2.266666667,0,36.23333333,13.83333333,32.20266516,-110.9086224,2,2015/9/1,,,
26,3300,3.62962963,0,34.85185185,16.11111111,32.20266516,-110.9086224,0,2015/10/1,,,
27,3326,5,0.033333333,32.8,24.56666667,32.20266516,-110.9086224,4,2015/11/1,,,
28,3412,5.034482759,0.103448276,39.20689655,22.27586207,32.20266516,-110.9086224,1,2016/2/1,,,
29,2,11.97849462,5.215053763,16.16129032,26.48387097,37.96757467,-122.0082943,0,2000/1/1,,,
30,29,6.838709677,5.64516129,31.17204301,24.24731183,37.96757467,-122.0082943,3,2000/3/1,,,
31,52,6.2,4.866666667,34.68888889,20.27777778,37.96757467,-122.0082943,1,2000/4/1,,,
32,125,4.505376344,4.784946237,29.94623656,13.83870968,37.96757467,-122.0082943,2,2000/7/1,,,
33,151,5.172043011,5.215053763,34.72043011,18.22580645,37.96757467,-122.0082943,2,2000/8/1,,,
34,180,7.388888889,6.922222222,37.13333333,25.46666667,37.96757467,-122.0082943,1,2000/9/1,,,
35,207,7.602150538,5.311827957,27.7311828,23.98924731,37.96757467,-122.0082943,2,2000/10/1,,,
36,232,12.41111111,6.166666667,18.01111111,27.63333333,37.96757467,-122.0082943,1,2000/11/1,,,
37,247,13.96774194,6.193548387,13.15053763,28.51612903,37.96757467,-122.0082943,1,2000/12/1,,,
38,2404,6.623655914,1.344086022,23.70967742,24.03225806,37.96757467,-122.0082943,4,2013/1/1,,,
39,2494,4.47311828,1.161290323,32.41935484,15.70967742,37.96757467,-122.0082943,5,2013/3/1,,,
40,2537,3.155555556,0.844444444,37.23333333,11.54444444,37.96757467,-122.0082943,4,2013/4/1,,,
41,2712,2.849462366,1.032258065,26.08602151,7.892473118,37.96757467,-122.0082943,5,2013/8/1,,,
42,2754,3.666666667,1.233333333,32.45555556,10.43333333,37.96757467,-122.0082943,4,2013/9/1,,,
43,2798,4.720430108,2.397849462,33.59139785,19.8172043,37.96757467,-122.0082943,2,2013/10/1,,,
44,2842,6.066666667,1.666666667,27.11111111,22.63333333,37.96757467,-122.0082943,1,2013/11/1,,,
45,2887,6.47311828,1.279569892,22.97849462,27.76344086,37.96757467,-122.0082943,4,2013/12/1,,,
46,3136,4.411111111,1.977777778,42.94444444,10.6,37.96757467,-122.0082943,2,2015/4/1,,,
47,3163,3.47311828,0.913978495,39.48387097,6.720430108,37.96757467,-122.0082943,2,2015/5/1,,,
48,3191,4.633333333,1.144444444,39.9,8.522222222,37.96757467,-122.0082943,2,2015/6/1,,,
49,3218,3.419354839,1.462365591,31.50537634,6.569892473,37.96757467,-122.0082943,3,2015/7/1,,,
50,3247,4.462365591,1.52688172,36.05376344,7.677419355,37.96757467,-122.0082943,2,2015/8/1,,,
51,3275,4.788888889,1.744444444,43.42222222,13.42222222,37.96757467,-122.0082943,1,2015/9/1,,,
52,3329,6.733333333,1.411111111,27.88888889,20.76666667,37.96757467,-122.0082943,0,2015/11/1,,,
53,3356,6.795698925,1.161290323,24.13978495,18.22580645,37.96757467,-122.0082943,4,2015/12/1,,,
54,3386,6.086021505,0.817204301,25.10752688,15.62365591,37.96757467,-122.0082943,1,2016/1/1,,,
55,3444,5.064516129,1.408602151,31.5483871,11.20430108,37.96757467,-122.0082943,1,2016/3/1,,,
56,3468,4.166666667,2.433333333,40.93333333,10.16666667,37.96757467,-122.0082943,2,2016/4/1,,,
57,3,43.5483871,11.12903226,32.32258065,61.80645161,32.67618,-115.48307,2,2000/1/1,,,
58,16,30.79310345,0.172413793,35.10344828,47.51724138,32.67618,-115.48307,3,2000/2/1,,,
59,30,22.67741935,0.193548387,47.77419355,45.48387097,32.67618,-115.48307,1,2000/3/1,,,
60,53,17.3,9.1,63,44.16666667,32.67618,-115.48307,2,2000/4/1,,,
61,101,9.3,5.666666667,51.2,28.33333333,32.67618,-115.48307,0,2000/6/1,,,
62,126,7.903225806,5.193548387,52.09677419,24.58064516,32.67618,-115.48307,1,2000/7/1,,,
63,152,8.892857143,3.857142857,53.67857143,24.21428571,32.67618,-115.48307,1,2000/8/1,,,
64,208,16.77419355,12.12903226,36.03225806,38.29032258,32.67618,-115.48307,0,2000/10/1,,,
65,233,56.66666667,16.03333333,27.63333333,57.86666667,32.67618,-115.48307,2,2000/11/1,,,
66,248,54.58064516,12.77419355,25.19354839,60.41935484,32.67618,-115.48307,3,2000/12/1,,,
67,259,36.12903226,0.193548387,24.93548387,39.74193548,32.67618,-115.48307,4,2002/1/1,,,
68,279,46.25,0.678571429,32.35714286,51.5,32.67618,-115.48307,2,2002/2/1,,,
69,302,18.19354839,0.064516129,25.61290323,28.74193548,32.67618,-115.48307,1,2002/3/1,,,
70,365,9.677419355,0,37.90322581,24.09677419,32.67618,-115.48307,0,2002/5/1,,,
71,398,8.966666667,0.033333333,43.9,24.96666667,32.67618,-115.48307,4,2002/6/1,,,
72,430,7.548387097,0.032258065,40.93548387,16.61290323,32.67618,-115.48307,0,2002/7/1,,,
73,460,11.38709677,0.129032258,38.06451613,20.16129032,32.67618,-115.48307,0,2002/8/1,,,
74,490,16.83333333,0.266666667,36.76666667,30.03333333,32.67618,-115.48307,1,2002/9/1,,,
75,519,20.67741935,0.032258065,37.51612903,40.25806452,32.67618,-115.48307,2,2002/10/1,,,
