State,County,City,Latitude,Longitude
Alabama,Baldwin,Fairhope,30.497478,-87.880258
Alabama,Colbert,Muscle Shoals,34.762619,-87.638097
Alabama,DeKalb,Crossville,34.289001,-85.97006499999998
Alabama,Elmore,Wetumpka,32.537022,-86.24376999999998
Alabama,Etowah,Southside,33.904039000000004,-86.05386700000001
Alabama,Houston,Dothan,31.188933000000002,-85.42309399999998
Alabama,Jefferson,Birmingham,33.547233899999995,-86.81815029999999
Alabama,Jefferson,Fairfield,33.485555999999995,-86.915
Alabama,Jefferson,Hoover,33.386389,-86.81666700000001
Alabama,Jefferson,Leeds,33.545278,-86.54916700000001
Alabama,Jefferson,Not in a city,33.566388999999994,-86.9730555
Alabama,Jefferson,Tarrant (corporate name for Tarrant City),33.578333,-86.773889
Alabama,Madison,Huntsville,34.730244,-86.671268
Alabama,Mobile,Chickasaw,30.770181,-88.087761
Alabama,Mobile,Theodore,30.474305,-88.14102199999998
Alabama,Montgomery,Montgomery,32.412811,-86.26339399999998
Alabama,Morgan,Decatur,34.530717,-86.967536
Alabama,Russell,Ladonia,32.46735,-85.08344699999998
Alabama,Russell,Phenix City,32.437028000000005,-84.99965300000001
Alabama,Shelby,Calera,33.092800000000004,-86.80720000000002
Alabama,Shelby,Helena,33.317142,-86.82575399999998
Alabama,Sumter,Not in a city,32.362606,-88.277992
Alabama,Tuscaloosa,Tuscaloosa,33.089772,-87.459733
Alaska,Anchorage ,Anchorage,61.205861,-149.824602
Alaska,Denali ,Not in a city,63.72320000000001,-148.9676
Alaska,Fairbanks North Star ,Fairbanks,64.84568999999999,-147.72741299999998
Alaska,Matanuska-Susitna ,Palmer,61.598898,-149.10622
Arizona,Cochise,Not in a city,32.009409999999995,-109.38906000000001
Arizona,Coconino,Flagstaff,35.206111,-111.652777
Arizona,Coconino,Grand Canyon Village,36.058640000000004,-112.1836
Arizona,Gila,Hayden,33.006179,-110.785797
Arizona,Gila,Miami,33.398284,-110.86667299999999
Arizona,Gila,Not in a city,33.3855,-110.867267
Arizona,Gila,Tonto National Monument,33.6547,-111.1074
Arizona,La Paz,Wenden,34.243900000000004,-113.5586
Arizona,Maricopa,Blue Point (District),33.54558,-111.60972
Arizona,Maricopa,Buckeye,33.36985,-112.62068000000001
Arizona,Maricopa,Cave Creek,33.821690000000004,-112.01726000000001
Arizona,Maricopa,Chandler,33.29896,-111.88426000000001
Arizona,Maricopa,Fort McDowell,33.629246,-111.676928
Arizona,Maricopa,Fountain Hills,33.61092,-111.72533999999999
Arizona,Maricopa,Glendale,33.57453,-112.19193
Arizona,Maricopa,Mesa,33.44263176363636,-111.8060349151515
Arizona,Maricopa,Not in a city,33.665371625000006,-111.96457487500001
Arizona,Maricopa,Phoenix,33.47632722071429,-112.08775400362434
