year,parameter,result,latitude,longitude
2015,PAH,18.6125,70.79668,-158.81764
2015,PAH,882.62,70.89648,-154.51714
2015,PAH,293.81,70.77606,-159.16023
2015,PAH,737.48,70.83772,-158.76328
2015,PAH,984.62,70.51008,-159.7809
2015,PAH,684.75,70.82645,-158.56464
2015,PAH,870.03,70.6001,-159.9874
2015,PAH,346.278,70.29276,-161.64851
2015,PAH,314.858,70.85295,-158.95015
2015,PAH,470.74,70.28793,-161.38142
2015,PAH,807.19,70.81623,-158.65599
2015,PAH,632.59,70.26575,-161.52661
2015,PAH,335.006,70.79699,-159.16907
2015,PAH,12.589,70.79523,-158.61818
2015,PAH,963.03,70.46702,-159.82925
2015,PAH,543.44,70.26598,-161.49812
2015,PAH,608.55,70.44557,-159.8809
2015,PAH,199.913,70.79145,-159.21269
2015,PAH,788.7,70.87621,-158.87074
2015,PAH,901.03,70.55376,-159.8718
2015,PAH,458.425,71.36658,-156.46556
2015,PAH,481.61,70.86619,-154.25139
2015,PAH,216.427,71.20421,-155.81281
2015,PAH,120.927,71.12628,-155.53656
2015,PAH,83.251,70.9114,-154.13422
2015,PAH,357.551,71.27721,-156.01894
2015,PAH,11.825,71.0373,-155.5879
2015,PAH,571.07,71.30807,-156.25009
2015,PAH,472.884,71.29836,-155.99196
2015,PAH,339.283,70.90934,-154.47159
2015,PAH,477.497,71.32653,-156.42862
2015,PAH,624.43,70.90526,-154.52477
2015,PAH,14.321,70.7055,-160.0202
2015,PAH,17.686,70.7124,-159.9766
2015,PAH,4.074,70.7726,-159.852
2015,PAH,567.842,70.7416,-159.8512
2015,PAH,5.332,70.7912,-159.7519
2015,PAH,412.543,70.705,-159.8932
2015,PAH,5.767,70.6728,-159.9894
2009,PAH,24.2,59.2451,-151.88933
2009,PAH,7.1,59.20451,-151.8067
2009,PAH,10,59.20613,-151.80428
2009,PAH,16.6,59.20921,-151.8124
2009,PAH,100.7,59.59437,-151.16586
2009,PAH,12.8,59.20936,-151.82946
2009,PAH,379.5,59.41501,-151.7148
2009,PAH,407.1,59.47564,-151.35077
2009,PAH,53.4,59.6287,-151.5144
2009,PAH,10.8,59.25033,-151.92961
2009,PAH,114.3,59.57521,-151.19655
2009,PAH,544.7,59.4178,-151.72745
2009,PAH,70,59.44878,-151.49982
2009,PAH,111.5,59.56194,-151.27379
2009,PAH,3166.9,59.4353,-151.71523
2009,PAH,147.9,59.57742,-151.18735
2009,PAH,156,59.63103,-151.53886
2009,PAH,21577.5,59.44106,-151.7206
2009,PAH,28.5,59.56377,-151.25611
2009,PAH,36.3,59.56058,-151.32156
2009,DDT,0.04,59.47171,-151.55998
2009,DDT,0.19,59.20613,-151.80428
2009,DDT,0,59.20936,-151.82946
2009,DDT,0,59.56377,-151.25611
2009,DDT,0.01,59.20921,-151.8124
2009,DDT,0.01,59.20451,-151.8067
2009,PAH,286.5,59.47171,-151.55998
2009,PAH,130.9,59.44992,-151.50688
2009,PAH,2638.9,59.42418,-151.71806
2009,PAH,12287.1,59.43729,-151.71519
2009,PAH,5.9,59.24618,-151.89516
2009,PAH,325.6,59.42151,-151.31711
2009,DDT,0,59.57521,-151.19655
2009,DDT,0,59.24618,-151.89516
2009,DDT,0.01,59.63103,-151.53886
2009,DDT,1.06,59.43729,-151.71519
2009,DDT,0,59.47564,-151.35077
2009,DDT,0.49,59.42418,-151.71806
2009,DDT,0.01,59.25033,-151.92961
2009,DDT,0,59.56194,-151.27379
2009,DDT,0.9,59.41501,-151.7148
