latitude,longitude,parameter,result,year
61.07543687,-145.5215524,PAH,48.06842535,2016
59.41791539,-151.2221557,PAH,31.25328456,2016
25.49541176,-80.29502941,PAH,0.024270208,2016
25.8112697,-80.16938106,PAH,0.253712215,2016
27.12928286,-80.23228,PAH,0.091551324,2016
37.22817802,-76.34695275,PAH,84.65856503,2016
38.14260203,-76.24584348,PAH,4.96865096,2016
35.30996079,-76.73660153,PAH,668.8756739,2016
39.36648875,-75.27368625,PAH,44.54329882,2016
42.24520294,-70.58481765,PAH,0.021956053,2016
32.1016521,-81.0677,PAH,3.468322662,2016
29.61570743,-84.23117771,PAH,64.18310043,2016
30.36903019,-86.39304515,PAH,280.8318797,2016
29.39868419,-94.95973326,PAH,224.5579026,2016
29.85604118,-93.89135647,PAH,48.92903677,2016
17.94216753,-66.97631184,PAH,0.230236096,2016
18.31288815,-64.85590248,PAH,1.11526284,2016
18.12418407,-65.41099912,PAH,0.129549316,2016
38.16668462,-123.4650231,PAH,3.21927566,2016
37.9854,-122.2890231,PAH,175.3158385,2016
47.814,-122.3823,PAH,408.15,2016
48.07410833,-122.3555833,PAH,0.68,2016
37.65645122,-122.2506939,PAH,493.025659,2016
28.33327652,-96.68348578,PAH,27.03020221,2016
26.11865747,-97.21317471,PAH,9.848436962,2016
57.72466087,-134.2120043,PAH,156.1989348,2016
60.78656008,-146.8384495,PAH,49.72648681,2016
43.84211944,-83.32249444,PAH,2.724717829,2016
43.20738156,-87.08998511,PAH,187.971063,2016
43.55777368,-77.30193158,PAH,0.947772007,2016
42.42063636,-81.196,PAH,380.2018178,2016
25.97660661,-81.56041762,PAH,59.74253843,2016
29.6674712,-92.51299674,PAH,27.63695926,2016
29.65707901,-89.74533002,PAH,119.5424181,2016
30.47038119,-88.08267129,PAH,70.5232961,2016
23.83579606,-165.2440055,PAH,0.08143924,2016
41.097595,-73.96844,PAH,3767.63525,2016
-14.29039618,-170.6827004,PAH,0,2016
14.96590075,145.6189314,PAH,0,2016
56.95101087,-140.1066283,PCB,10.83565217,2016
59.53206201,-151.2091755,PCB,2.396754325,2016
25.49541176,-80.29502941,PCB,17.33142857,2016
25.8112697,-80.16938106,PCB,99.29520375,2016
27.12928286,-80.23228,PCB,13.26480512,2016
39.07070385,-76.32366538,PCB,171.2606122,2016
37.22817802,-76.34695275,PCB,6.482706298,2016
38.14260203,-76.24584348,PCB,5.232565217,2016
35.40735889,-76.68892867,PCB,0,2016
39.39860288,-75.26584615,PCB,44.66995192,2016
38.9258,-74.8137,PCB,0,2016
42.24520294,-70.58481765,PCB,8.543235294,2016
32.1016322,-81.06728814,PCB,2.266152542,2016
29.62122338,-84.20823247,PCB,18.57362338,2016
30.37339295,-86.4038391,PCB,37.58933457,2016
29.3959759,-94.95791436,PCB,37.2039433,2016
29.85842805,-93.89080976,PCB,7.722965775,2016
27.83497636,-82.57614606,PCB,121.0931838,2016
17.94216753,-66.97631184,PCB,66.96282828,2016
17.93630333,-66.24911667,PCB,1.565333333,2016
18.31288815,-64.85590248,PCB,2.131066574,2016
18.12418407,-65.41099912,PCB,0.22562929,2016
38.16668462,-123.4650231,PCB,1.628461538,2016
36.55582198,-121.8925901,PCB,2.167142857,2016
37.32079917,-122.6698479,PCB,1.149917355,2016
37.9854,-122.2890231,PCB,120.7415388,2016
48.07410833,-122.3555833,PCB,37.46333333,2016
37.65645122,-122.2506939,PCB,40.9195122,2016
28.33291569,-96.68252304,PCB,8.375738688,2016
26.1192775,-97.213695,PCB,18.51211667,2016
57.7581,-134.2853143,PCB,14.43309524,2016
60.86267524,-147.1230455,PCB,2.183179418,2016
41.99086353,-81.82733294,PCB,265.878164,2016
43.84211944,-83.32249444,PCB,97.15928704,2016
43.20752817,-87.08475211,PCB,390.2974601,2016
43.55777368,-77.30193158,PCB,57.85535965,2016
42.4922,-81.0532,PCB,101.936,2016
46.7109,-92.0224,PCB,0,2016
25.976602,-81.553833,PCB,16.67931,2016
29.67312375,-92.52442375,PCB,10.03649448,2016
29.65454426,-89.73159574,PCB,20.18143107,2016
30.4759087,-88.0815,PCB,9.968931988,2016
23.94419508,-165.5518689,PCB,18.7503645,2016
41.097595,-73.96844,PCB,447.2806331,2016
-14.29039618,-170.6827004,PCB,8.624117647,2016
14.96590075,145.6189314,PCB,0.4475,2016
56.95101087,-140.1066283,DDT,5.13087823,2016
59.53206201,-151.2091755,DDT,1.821759513,2016
25.49541176,-80.29502941,DDT,3.585042017,2016
25.8112697,-80.16938106,DDT,16.81530303,2016
27.13408624,-80.23518716,DDT,19.7421857,2016
39.07070385,-76.32366538,DDT,35.00945122,2016
37.22817802,-76.34695275,DDT,3.540769231,2016
38.14260203,-76.24584348,DDT,1.346333333,2016
35.41391042,-76.66691134,DDT,0.46675,2016
39.36648875,-75.27368625,DDT,25.6710375,2016
38.9258,-74.8137,DDT,0,2016
42.24520294,-70.58481765,DDT,1.569411765,2016
32.1016322,-81.06728814,DDT,0.393449153,2016
29.60952584,-84.22597191,DDT,5.675396732,2016
30.37117853,-86.39012768,DDT,100.3685857,2016
29.40383192,-94.95296573,DDT,12.52578846,2016
29.85528256,-93.89153023,DDT,1.179717247,2016
27.82774409,-82.57658226,DDT,52.64,2016
17.94216753,-66.97631184,DDT,3.074545455,2016
17.93630333,-66.24911667,DDT,0.382666664,2016
18.31288815,-64.85590248,DDT,0.087632223,2016
18.12418407,-65.41099912,DDT,0,2016
38.16668462,-123.4650231,DDT,2.886923077,2016
36.55582198,-121.8925901,DDT,7.063296703,2016
37.32079917,-122.6698479,DDT,3.008347107,2016
37.9854,-122.2890231,DDT,17.27826923,2016
48.07410833,-122.3555833,DDT,6.171666667,2016
37.65645122,-122.2506939,DDT,13.70170732,2016
28.32816118,-96.6885898,DDT,1.311491828,2016
26.11371064,-97.21090638,DDT,4.747903613,2016
57.7581,-134.2853143,DDT,2.525619048,2016
60.88569083,-147.1143523,DDT,1.291041667,2016
41.99086353,-81.82733294,DDT,16.9319346,2016
